# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar  1 13:35:16 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN st_spectype:    Spectral Type
# COLUMN sy_umag:        u (Sloan) Magnitude
# COLUMN sy_gmag:        g (Sloan) Magnitude
# COLUMN sy_rmag:        r (Sloan) Magnitude
# COLUMN sy_imag:        i (Sloan) Magnitude
# COLUMN sy_zmag:        z (Sloan) Magnitude
#
pl_name,st_spectype,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag
51 Eri b,F0 IV,,,,,
51 Peg b,,,,,,
51 Peg b,,,,,,
51 Peg b,,,,,,
51 Peg b,,,,,,
51 Peg b,,,,,,
55 Cnc b,,,,,,
55 Cnc b,G8 V,,,,,
55 Cnc b,,,,,,
55 Cnc b,G8 V,,,,,
55 Cnc b,K0 IV-V,,,,,
55 Cnc b,,,,,,
55 Cnc b,,,,,,
55 Cnc b,,,,,,
55 Cnc b,,,,,,
55 Cnc b,,,,,,
55 Cnc b,,,,,,
55 Cnc b,,,,,,
55 Cnc c,,,,,,
55 Cnc c,,,,,,
55 Cnc c,,,,,,
55 Cnc c,,,,,,
55 Cnc c,,,,,,
55 Cnc c,,,,,,
55 Cnc c,,,,,,
55 Cnc c,,,,,,
55 Cnc d,,,,,,
55 Cnc d,G8 V,,,,,
55 Cnc d,,,,,,
55 Cnc d,,,,,,
55 Cnc d,,,,,,
55 Cnc d,,,,,,
55 Cnc d,,,,,,
55 Cnc d,,,,,,
55 Cnc d,,,,,,
55 Cnc d,,,,,,
55 Cnc e,,,,,,
55 Cnc e,,,,,,
55 Cnc e,,,,,,
55 Cnc e,,,,,,
55 Cnc e,,,,,,
55 Cnc e,,,,,,
55 Cnc e,,,,,,
55 Cnc e,,,,,,
55 Cnc e,,,,,,
55 Cnc e,G8 V,,,,,
55 Cnc e,,,,,,
55 Cnc e,,,,,,
55 Cnc e,,,,,,
55 Cnc e,,,,,,
55 Cnc e,,,,,,
55 Cnc e,,,,,,
55 Cnc e,,,,,,
55 Cnc e,,,,,,
55 Cnc f,,,,,,
55 Cnc f,,,,,,
55 Cnc f,,,,,,
55 Cnc f,,,,,,
55 Cnc f,,,,,,
55 Cnc f,,,,,,
55 Cnc f,,,,,,
6 Lyn b,K0 IV,,,,,
6 Lyn b,,,,,,
6 Lyn b,K0 IV,,,,,
6 Lyn b,,,,,,
61 Vir b,,,,,,
61 Vir b,G5 V,,,,,
61 Vir c,,,,,,
61 Vir c,G5 V,,,,,
61 Vir d,G5 V,,,,,
7 CMa b,,,,,,
7 CMa b,K1 III,,,,,
7 CMa b,,,,,,
7 CMa c,,,,,,
70 Vir b,,,,,,
70 Vir b,,,,,,
70 Vir b,,,,,,
70 Vir b,,,,,,
70 Vir b,,,,,,
70 Vir b,,,,,,
75 Cet b,G3 III,,,,,
75 Cet b,G3 III,,,,,
75 Cet c,G3 III,,,,,
8 UMi b,,,,,,
8 UMi b,K0,,,,,
81 Cet b,G5 III,,,,,
81 Cet b,,,,,,
81 Cet b,G5 III,,,,,
91 Aqr b,K0 III,,,,,
AB Aur b,,,,,,
AB Pic b,K2 V,,,,,
AF Lep b,F8 V,,,,,
AF Lep b,F8 V,,,,,
AF Lep b,F8 V,,,,,
AU Mic b,,,,,,
AU Mic b,,,,,,
AU Mic b,M1,,,,,
AU Mic b,,,,,,
AU Mic b,,,,,,
AU Mic b,,,,,,
AU Mic b,,,,,,
AU Mic b,,,,,,
AU Mic b,,,,,,
AU Mic b,,,,,,
AU Mic c,,,,,,
AU Mic c,,,,,,
AU Mic c,,,,,,
AU Mic c,,,,,,
AU Mic c,,,,,,
AU Mic c,,,,,,
AU Mic d,,,,,,
BD+03 2562 b,,15.4530000,10.3389000,9.0547300,8.5670800,8.6502710
BD+14 4559 b,,,,,,
BD+14 4559 b,K2 V,,,,,
BD+15 2375 b,,15.5207000,10.8903000,10.0066000,9.7151300,10.3566000
BD+15 2940 b,K0,,,,,
BD+20 2457 b,K2 II,14.9129000,10.5155000,9.2773900,8.8404900,8.9778400
BD+20 2457 b,,14.9129000,10.5155000,9.2773900,8.8404900,8.9778400
BD+20 2457 c,K2 II,14.9129000,10.5155000,9.2773900,8.8404900,8.9778400
BD+20 274 b,K5 III,14.3374000,10.1863000,8.9417110,8.4922800,8.9044000
BD+20 594 b,,,,,,
BD+20 594 b,G,,,,,
BD+20 594 b,,,,,,
BD+45 564 b,K1,,,,,
BD+48 738 b,K0 III,,,,,
BD+48 740 b,,,,,,
BD+49 828 b,K0,,,,,
BD+55 362 b,K3,,,,,
BD+60 1417 b,K0,,,,,
BD+63 1405 b,K0,,,,,
BD+63 1405 b,K0,,,,,
BD-00 4475 b,G0,,,,,
BD-06 1339 b,K7/M0 V,,,,,
BD-06 1339 c,K7/M0 V,,,,,
BD-08 2823 b,,,,,,
BD-08 2823 b,K3 V,,,,,
BD-08 2823 c,K3 V,,,,,
BD-10 3166 b,K0 V,,,,,
BD-10 3166 b,,,,,,
BD-10 3166 b,,,,,,
BD-10 3166 b,,,,,,
BD-11 4672 b,,,,,,
BD-11 4672 b,K7 V,,,,,
BD-11 4672 c,,,,,,
BD-13 2130 b,,,,,,
BD-13 2130 b,,,,,,
BD-17 63 b,K5 V,14.1468000,10.2994000,9.2110400,8.8696400,9.0095600
BD-17 63 b,,14.1468000,10.2994000,9.2110400,8.8696400,9.0095600
BD-210397 b,K7 V,,,,,
BD-210397 c,K7 V,,,,,
BD-210397 c,K7 V,,,,,
CD Cet b,M5.0 V,17.4608000,15.0603000,13.9494000,14.1848000,13.2956000
CFBDSIR J145829+101343 b,,,,,,
CFHTWIR-Oph 98 b,M9-L1,,,,,
CHXR 73 b,M3.5,,,,,
CI Tau b,K7,15.8080000,14.0660000,12.4044000,11.6913000,13.0358000
COCONUTS-2 b,M3 V,,,,,
CT Cha b,,,,,,
CoRoT-1 b,,,,,,
CoRoT-1 b,,,,,,
CoRoT-1 b,,,,,,
CoRoT-1 b,G0 V,,,,,
CoRoT-1 b,,,,,,
CoRoT-1 b,,,,,,
CoRoT-1 b,,,,,,
CoRoT-10 b,,,,,,
CoRoT-10 b,,,,,,
CoRoT-10 b,K1 V,,,,,
CoRoT-11 b,,,,,,
CoRoT-11 b,,,,,,
CoRoT-11 b,,,,,,
CoRoT-11 b,F6 V,,,,,
CoRoT-11 b,F6 V,,,,,
CoRoT-11 b,,,,,,
CoRoT-12 b,,,,,,
CoRoT-12 b,,,,,,
CoRoT-12 b,,,,,,
CoRoT-12 b,,,,,,
CoRoT-12 b,,,,,,
CoRoT-12 b,,,,,,
CoRoT-13 b,,,,,,
CoRoT-13 b,G0 V,,,,,
CoRoT-13 b,,,,,,
CoRoT-13 b,,,,,,
CoRoT-13 b,G0 V,,,,,
CoRoT-14 b,,,,,,
CoRoT-14 b,,,,,,
CoRoT-14 b,F9 V,,,,,
CoRoT-16 b,G5 V,,,,,
CoRoT-16 b,,,,,,
CoRoT-17 b,G2 V,,,,,
CoRoT-17 b,,,,,,
CoRoT-17 b,,,,,,
CoRoT-18 b,,16.9794000,15.3870000,14.7454000,14.5159000,14.4078000
CoRoT-18 b,G9 V,16.9794000,15.3870000,14.7454000,14.5159000,14.4078000
CoRoT-18 b,,16.9794000,15.3870000,14.7454000,14.5159000,14.4078000
CoRoT-18 b,,16.9794000,15.3870000,14.7454000,14.5159000,14.4078000
CoRoT-18 b,,16.9794000,15.3870000,14.7454000,14.5159000,14.4078000
CoRoT-18 b,G9 V,16.9794000,15.3870000,14.7454000,14.5159000,14.4078000
CoRoT-19 b,F9 V,15.9662000,14.4123000,13.7257000,13.4259000,13.2554000
CoRoT-19 b,F9 V,15.9662000,14.4123000,13.7257000,13.4259000,13.2554000
CoRoT-19 b,,15.9662000,14.4123000,13.7257000,13.4259000,13.2554000
CoRoT-19 b,,15.9662000,14.4123000,13.7257000,13.4259000,13.2554000
CoRoT-19 b,F9 V,15.9662000,14.4123000,13.7257000,13.4259000,13.2554000
CoRoT-19 b,,15.9662000,14.4123000,13.7257000,13.4259000,13.2554000
CoRoT-2 b,,,,,,
CoRoT-2 b,,,,,,
CoRoT-2 b,,,,,,
CoRoT-2 b,,,,,,
CoRoT-2 b,,,,,,
CoRoT-2 b,,,,,,
CoRoT-2 b,,,,,,
CoRoT-2 b,,,,,,
CoRoT-2 b,,,,,,
CoRoT-2 b,,,,,,
CoRoT-2 b,,,,,,
CoRoT-2 b,,,,,,
CoRoT-20 b,,,,,,
CoRoT-20 b,,,,,,
CoRoT-20 b,G2 V,,,,,
CoRoT-20 b,,,,,,
CoRoT-20 b,,,,,,
CoRoT-20 b,,,,,,
CoRoT-20 c,,,,,,
CoRoT-21 b,F8 IV,17.9494000,16.4513000,15.7952000,15.4723000,15.2871000
CoRoT-21 b,,17.9494000,16.4513000,15.7952000,15.4723000,15.2871000
CoRoT-22 b,G3 V,,,,,
CoRoT-23 b,,,,,,
CoRoT-23 b,,,,,,
CoRoT-23 b,G0 V,,,,,
CoRoT-24 b,K1 V,,,,,
CoRoT-24 c,K1 V,,,,,
CoRoT-25 b,F9,,,,,
CoRoT-25 b,,,,,,
CoRoT-26 b,,,,,,
CoRoT-26 b,G5,,,,,
CoRoT-27 b,,,,,,
CoRoT-27 b,G2,,,,,
CoRoT-28 b,G8/9 IV,,,,,
CoRoT-28 b,,,,,,
CoRoT-29 b,,,,,,
CoRoT-29 b,K0 V,,,,,
CoRoT-29 b,,,,,,
CoRoT-3 b,,,,,,
CoRoT-3 b,,,,,,
CoRoT-3 b,F3 V,,,,,
CoRoT-3 b,,,,,,
CoRoT-3 b,,,,,,
CoRoT-30 b,G3 V,,,,,
CoRoT-31 b,G2 IV,,,,,
CoRoT-35 b,F6 V,,,,,
CoRoT-36 b,F3 V,,,,,
CoRoT-4 b,,15.5452000,14.3082000,15.1978000,14.0739000,13.7405000
CoRoT-4 b,,15.5452000,14.3082000,15.1978000,14.0739000,13.7405000
CoRoT-4 b,,15.5452000,14.3082000,15.1978000,14.0739000,13.7405000
CoRoT-4 b,,15.5452000,14.3082000,15.1978000,14.0739000,13.7405000
CoRoT-5 b,F9 V,15.9996000,14.7160000,13.9355000,13.7711000,14.1142000
CoRoT-5 b,,15.9996000,14.7160000,13.9355000,13.7711000,14.1142000
CoRoT-5 b,,15.9996000,14.7160000,13.9355000,13.7711000,14.1142000
CoRoT-5 b,,15.9996000,14.7160000,13.9355000,13.7711000,14.1142000
CoRoT-5 b,,15.9996000,14.7160000,13.9355000,13.7711000,14.1142000
CoRoT-5 b,,15.9996000,14.7160000,13.9355000,13.7711000,14.1142000
CoRoT-6 b,,,,,,
CoRoT-6 b,F9 V,,,,,
CoRoT-6 b,,,,,,
CoRoT-6 b,,,,,,
CoRoT-7 b,,,,,,
CoRoT-7 b,,,,,,
CoRoT-7 b,,,,,,
CoRoT-7 b,,,,,,
CoRoT-7 b,,,,,,
CoRoT-7 b,,,,,,
CoRoT-7 b,G9 V,,,,,
CoRoT-7 b,G9 V,,,,,
CoRoT-7 c,,,,,,
CoRoT-7 c,,,,,,
CoRoT-7 c,G9 V,,,,,
CoRoT-7 d,G9 V,,,,,
CoRoT-8 b,,,,,,
CoRoT-8 b,,,,,,
CoRoT-8 b,,,,,,
CoRoT-8 b,K1 V,,,,,
CoRoT-9 b,,,,,,
CoRoT-9 b,,,,,,
CoRoT-9 b,,,,,,
CoRoT-9 b,,,,,,
CoRoT-9 b,G3 V,,,,,
CoRoTID 223977153 b,G0 VI,15.5005000,14.1084000,13.6711000,16.6984000,13.4498000
CoRoTID 223977153 b,G0 VI,15.5005000,14.1084000,13.6711000,16.6984000,13.4498000
DE CVn b,,15.6103000,14.8870000,12.5088000,11.4455000,12.4303000
DENIS-P J082303.1-491201 b,L1.5,,,,,
DH Tau b,M0.5,15.6366000,15.2471000,15.0711000,15.0094000,12.6310000
DH Tau b,,15.6366000,15.2471000,15.0711000,15.0094000,12.6310000
DMPP-1 b,F8 V,,,,,
DMPP-1 c,F8 V,,,,,
DMPP-1 d,F8 V,,,,,
DMPP-1 e,F8 V,,,,,
DMPP-2 b,F5 V,,,,,
DMPP-3 A b,K0 V,,,,,
DMPP-3 A b,,,,,,
DMPP-4 b,F5-F8 V,,,,,
DP Leo b,,,,,,
DP Leo b,,,,,,
DS Tuc A b,G6 V,,,,,
DS Tuc A b,G6 V,,,,,
DS Tuc A b,,,,,,
EPIC 201170410.02,,,,,,
EPIC 201238110 b,,19.7224000,17.0037000,15.5521000,14.5637000,14.0482000
EPIC 201238110 b,,19.7224000,17.0037000,15.5521000,14.5637000,14.0482000
EPIC 201427007 b,,16.4425000,14.6644000,14.0904000,13.9361000,13.8685000
EPIC 201497682 b,,17.4868000,15.5898000,13.7590000,13.4670000,14.0043000
EPIC 201595106 b,,14.6843000,12.2644000,14.1760000,11.5790000,13.7205000
EPIC 201595106 b,,14.6843000,12.2644000,14.1760000,11.5790000,13.7205000
EPIC 201595106 b,,14.6843000,12.2644000,14.1760000,11.5790000,13.7205000
EPIC 201615463 c,,14.8068000,14.4276000,14.6152000,13.7582000,13.1044000
EPIC 201754305 d,,,,,,
EPIC 201757695.02,,,,,,
EPIC 201833600 c,,,,,,
EPIC 201833600 c,,,,,,
EPIC 201841433 b,,,,,,
EPIC 201841433 b,,,,,,
EPIC 201841433 b,,,,,,
EPIC 205950854 c,,,,,,
EPIC 205950854 c,,,,,,
EPIC 205950854 c,,,,,,
EPIC 206024342 b,,,,,,
EPIC 206024342 b,,,,,,
EPIC 206024342 c,,,,,,
EPIC 206024342 c,,,,,,
EPIC 206024342 c,,,,,,
EPIC 206024342 d,,,,,,
EPIC 206024342 d,,,,,,
EPIC 206024342 d,,,,,,
EPIC 206024342 d,,,,,,
EPIC 206032309 b,,,,,,
EPIC 206042996 b,,,,,,
EPIC 206042996 b,,,,,,
EPIC 206042996 b,,,,,,
EPIC 206042996 c,,,,,,
EPIC 206042996 c,,,,,,
EPIC 206215704 b,,20.9776000,18.0959000,16.5649000,15.4462000,14.8072000
EPIC 206215704 b,,20.9776000,18.0959000,16.5649000,15.4462000,14.8072000
EPIC 206215704 b,,20.9776000,18.0959000,16.5649000,15.4462000,14.8072000
EPIC 206317286 b,,16.6780000,14.5456000,13.6940000,13.4008000,13.2274000
EPIC 206317286 b,,16.6780000,14.5456000,13.6940000,13.4008000,13.2274000
EPIC 206317286 c,,16.6780000,14.5456000,13.6940000,13.4008000,13.2274000
EPIC 206317286 c,,16.6780000,14.5456000,13.6940000,13.4008000,13.2274000
EPIC 206317286 c,,16.6780000,14.5456000,13.6940000,13.4008000,13.2274000
EPIC 211822797 b,,18.7883000,16.0775000,14.6609000,14.2621000,13.5182000
EPIC 211822797 b,,18.7883000,16.0775000,14.6609000,14.2621000,13.5182000
EPIC 211822797 b,,18.7883000,16.0775000,14.6609000,14.2621000,13.5182000
EPIC 211822797 b,,18.7883000,16.0775000,14.6609000,14.2621000,13.5182000
EPIC 211822797 b,,18.7883000,16.0775000,14.6609000,14.2621000,13.5182000
EPIC 211822797 b,,18.7883000,16.0775000,14.6609000,14.2621000,13.5182000
EPIC 211945201 b,,,,,,
EPIC 211945201 b,,,,,,
EPIC 211945201 b,,,,,,
EPIC 211945201 b,,,,,,
EPIC 211945201 b,,,,,,
EPIC 211945201 b,,,,,,
EPIC 211945201 b,G0,,,,,
EPIC 211945201 b,,,,,,
EPIC 211945201 b,G0,,,,,
EPIC 211945201 b,,,,,,
EPIC 212297394 b,,,,,,
EPIC 212297394 b,,,,,,
EPIC 212297394 b,,,,,,
EPIC 212297394 c,,,,,,
EPIC 212297394 c,,,,,,
EPIC 212297394 c,,,,,,
EPIC 212424622 b,,,,,,
EPIC 212424622 b,,,,,,
EPIC 212499991 b,,,,,,
EPIC 212587672 b,,,,,,
EPIC 212587672 b,,,,,,
EPIC 212587672 b,,,,,,
EPIC 212587672 c,,,,,,
EPIC 212587672 c,,,,,,
EPIC 212587672 c,,,,,,
EPIC 212587672 c,,,,,,
EPIC 212587672 c,,,,,,
EPIC 212587672 c,,,,,,
EPIC 212624936 b,,,,,,
EPIC 212624936 c,,,,,,
EPIC 212624936 c,,,,,,
EPIC 212737443 b,,,,,,
EPIC 212737443 b,,,,,,
EPIC 212737443 b,K3,,,,,
EPIC 212737443 c,K3,,,,,
EPIC 220492298 b,,16.3140000,14.8641000,13.8038000,13.7190000,13.6928000
EPIC 220554210 c,,16.5176000,16.0253000,13.8864000,13.7799000,14.1107000
EPIC 220554210 c,,16.5176000,16.0253000,13.8864000,13.7799000,14.1107000
EPIC 220554210 c,,16.5176000,16.0253000,13.8864000,13.7799000,14.1107000
EPIC 220674823 b,,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 b,,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 b,,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 b,,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 b,,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 b,,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 b,G5,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 b,,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 b,,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 b,G5 V,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 c,,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 c,G5,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 c,,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 c,,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 c,,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 c,,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 c,,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 c,,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 220674823 c,G5 V,14.7932000,12.6287000,12.0262000,11.8122000,12.9569000
EPIC 228836835 b,,,,,,
EPIC 228836835 b,,,,,,
EPIC 229004835 b,,,,,,
EPIC 229004835 b,,,,,,
EPIC 229004835 b,,,,,,
EPIC 246851721 b,F5 V,15.2612000,11.7275000,11.3069000,11.1782000,11.3319000
EPIC 246851721 b,F5 V,15.2612000,11.7275000,11.3069000,11.1782000,11.3319000
EPIC 246851721 b,,15.2612000,11.7275000,11.3069000,11.1782000,11.3319000
EPIC 248847494 b,,15.8687000,13.2377000,12.2009000,11.9699000,12.4164000
EPIC 249893012 b,G8 IV/V,,,,,
EPIC 249893012 c,G8 IV/V,,,,,
EPIC 249893012 d,G8 IV/V,,,,,
FU Tau b,M7.25,19.5013000,18.7296000,16.8600000,14.7427000,13.0581000
G 264-012 b,M4.0 V,,,,,
G 264-012 c,M4.0 V,,,,,
G 9-40 b,M2.5 V,17.2800000,16.0466000,13.3720000,12.1350000,13.8174000
G 9-40 b,,17.2800000,16.0466000,13.3720000,12.1350000,13.8174000
G 9-40 b,,17.2800000,16.0466000,13.3720000,12.1350000,13.8174000
G 9-40 b,M2.5 V,17.2800000,16.0466000,13.3720000,12.1350000,13.8174000
GJ 1002 b,M5.5 V,17.9265000,15.0685000,13.2885000,11.2165000,10.6024000
GJ 1002 c,M5.5 V,17.9265000,15.0685000,13.2885000,11.2165000,10.6024000
GJ 1061 b,M5.5 V,,,,,
GJ 1061 c,M5.5 V,,,,,
GJ 1061 d,M5.5 V,,,,,
GJ 1132 b,,,,,,
GJ 1132 b,,,,,,
GJ 1132 b,,,,,,
GJ 1132 b,M4.5 V,,,,,
GJ 1132 b,,,,,,
GJ 1132 b,M4.5 V,,,,,
GJ 1132 c,,,,,,
GJ 1148 b,,15.8989000,13.0181000,11.3972000,9.9557600,10.3189000
GJ 1148 b,,15.8989000,13.0181000,11.3972000,9.9557600,10.3189000
GJ 1148 b,,15.8989000,13.0181000,11.3972000,9.9557600,10.3189000
GJ 1148 c,,15.8989000,13.0181000,11.3972000,9.9557600,10.3189000
GJ 1148 c,,15.8989000,13.0181000,11.3972000,9.9557600,10.3189000
GJ 1151 c,M 4.5V,16.4793000,15.3392000,12.7729000,11.0613000,10.6971000
GJ 1214 b,,,,,,
GJ 1214 b,,,,,,
GJ 1214 b,,,,,,
GJ 1214 b,,,,,,
GJ 1214 b,,,,,,
GJ 1214 b,,,,,,
GJ 1214 b,,,,,,
GJ 1214 b,,,,,,
GJ 1214 b,,,,,,
GJ 1214 b,,,,,,
GJ 1214 b,,,,,,
GJ 1214 b,,,,,,
GJ 1214 b,M4 V,,,,,
GJ 1214 b,,,,,,
GJ 1214 b,,,,,,
GJ 1214 b,,,,,,
GJ 1214 b,,,,,,
GJ 1252 b,,,,,,
GJ 1252 b,,,,,,
GJ 1252 b,M3,,,,,
GJ 1252 b,M3,,,,,
GJ 1252 b,M3,,,,,
GJ 1252 b,M3,,,,,
GJ 1265 b,M4.5 V,,,,,
GJ 143 b,,,,,,
GJ 143 b,,,,,,
GJ 143 b,K4.5,,,,,
GJ 15 A b,,,,,,
GJ 15 A b,M1,,,,,
GJ 15 A b,M2 V,,,,,
GJ 15 A c,M1,,,,,
GJ 160.2 b,M0 V,,,,,
GJ 163 b,,,,,,
GJ 163 c,,,,,,
GJ 163 d,,,,,,
GJ 179 b,,,,,,
GJ 179 b,M3.5 V,,,,,
GJ 179 b,M2 V,,,,,
GJ 180 b,M2 V,,,,,
GJ 180 b,,,,,,
GJ 180 c,M2 V,,,,,
GJ 180 d,,,,,,
GJ 2030 b,,,,,,
GJ 2030 c,,,,,,
GJ 2056 b,,,,,,
GJ 229 A c,,,,,,
GJ 229 A c,,,,,,
GJ 229 b,,,,,,
GJ 229 b,,,,,,
GJ 229 b,M1/M2 V,,,,,
GJ 251 b,M3.0 V,,,,,
GJ 27.1 b,M0.5 V,,,,,
GJ 273 b,M3.5,,,,,
GJ 273 c,M3.5,,,,,
GJ 3021 b,G6 V,,,,,
GJ 3082 b,,,,,,
GJ 3090 b,,,,,,
GJ 3090 b,M2 V,,,,,
GJ 3138 b,M0,,,,,
GJ 3138 c,M0,,,,,
GJ 3138 d,M0,,,,,
GJ 317 b,M2.5 V,,,,,
GJ 317 b,,,,,,
GJ 317 b,M3.5 V,,,,,
GJ 317 b,,,,,,
GJ 317 c,,,,,,
GJ 317 c,,,,,,
GJ 317 c,M2.5 V,,,,,
GJ 317 c,,,,,,
GJ 3222 b,,,,,,
GJ 328 b,M1,15.5483000,10.8176000,13.1128000,12.5567000,9.3510300
GJ 328 b,M0.0,15.5483000,10.8176000,13.1128000,12.5567000,9.3510300
GJ 328 c,M0.0,15.5483000,10.8176000,13.1128000,12.5567000,9.3510300
GJ 3293 b,M2.5,,,,,
GJ 3293 b,M2.5,,,,,
GJ 3293 c,M2.5,,,,,
GJ 3293 c,M2.5,,,,,
GJ 3293 d,M2.5,,,,,
GJ 3293 e,M2.5,,,,,
GJ 3323 b,M4,,,,,
GJ 3323 c,M4,,,,,
GJ 3341 b,M2.5,,,,,
GJ 338 B b,M0.0 V,,,,,
GJ 338 B b,M0 V,,,,,
GJ 3470 b,,15.9337000,15.4392000,11.8694000,10.7632000,10.5750000
GJ 3470 b,,15.9337000,15.4392000,11.8694000,10.7632000,10.5750000
GJ 3470 b,,15.9337000,15.4392000,11.8694000,10.7632000,10.5750000
GJ 3470 b,,15.9337000,15.4392000,11.8694000,10.7632000,10.5750000
GJ 3470 b,M1.5,15.9337000,15.4392000,11.8694000,10.7632000,10.5750000
GJ 3470 b,M1.5,15.9337000,15.4392000,11.8694000,10.7632000,10.5750000
GJ 3470 b,,15.9337000,15.4392000,11.8694000,10.7632000,10.5750000
GJ 3470 b,,15.9337000,15.4392000,11.8694000,10.7632000,10.5750000
GJ 3470 b,,15.9337000,15.4392000,11.8694000,10.7632000,10.5750000
GJ 3470 b,,15.9337000,15.4392000,11.8694000,10.7632000,10.5750000
GJ 3470 b,M1.5,15.9337000,15.4392000,11.8694000,10.7632000,10.5750000
GJ 3473 b,,16.8950000,15.4319000,13.2912000,11.9009000,11.4704000
GJ 3473 b,,16.8950000,15.4319000,13.2912000,11.9009000,11.4704000
GJ 3473 c,,16.8950000,15.4319000,13.2912000,11.9009000,11.4704000
GJ 3512 b,M5.5 V,,,,,
GJ 3512 b,M5.5 V,,,,,
GJ 3512 c,M5.5 V,,,,,
GJ 357 b,M2.5 V,,,,,
GJ 357 b,,,,,,
GJ 357 b,M2.5 V,,,,,
GJ 357 b,M2.5 V,,,,,
GJ 357 c,M2.5 V,,,,,
GJ 357 d,M2.5 V,,,,,
GJ 3634 b,M2.5,,,,,
GJ 367 b,,,,,,
GJ 367 b,M1.0 V,,,,,
GJ 367 b,M1.0 V,,,,,
GJ 367 c,M1.0 V,,,,,
